id,titre,categorie_metier,salaire_moy,competence,famille_competence
210LQML,Chef de projet informatique DATA (H/F),Data Project / Product,,ETL / ELT,Data Engineering
210LQML,Chef de projet informatique DATA (H/F),Data Project / Product,,Machine Learning,Machine Learning
210LQML,Chef de projet informatique DATA (H/F),Data Project / Product,,Qlik,BI et visualisation
210LQML,Chef de projet informatique DATA (H/F),Data Project / Product,,SQL,Bases de données
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,Airflow,Data Engineering
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,CI/CD,DevOps
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,ETL / ELT,Data Engineering
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,FastAPI,Développement
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,Git,DevOps
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,Hadoop,Data Engineering
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,Kubernetes,DevOps
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,Linux,DevOps
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,PostgreSQL,Bases de données
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,Power BI,BI et visualisation
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,Python,Langages
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,Qlik,BI et visualisation
210LNTS,Data manager (F/H),Data Management / Governance,40000.0,Spark,Data Engineering
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,API REST,Développement
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,Airflow,Data Engineering
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,BigQuery,Bases de données
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,CI/CD,DevOps
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,Data Warehouse,Data Engineering
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,Flask,Développement
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,GCP,Cloud
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,Git,DevOps
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,Power BI,BI et visualisation
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,Python,Langages
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,SQL,Bases de données
210LGWN,Data engineer (BI) - H/F/X (H/F),Data Engineer,,dbt,Data Engineering
210LDDF,Consultant BI / Décisionnel (H/F),Data Analyst / BI,40000.0,ETL / ELT,Data Engineering
210LDDF,Consultant BI / Décisionnel (H/F),Data Analyst / BI,40000.0,Oracle,Bases de données
210LDDF,Consultant BI / Décisionnel (H/F),Data Analyst / BI,40000.0,SQL,Bases de données
210LCDC,Chargé de projet data analyst (H/F),Data Analyst / BI,35000.0,Power BI,BI et visualisation
210LCDC,Chargé de projet data analyst (H/F),Data Analyst / BI,35000.0,Qlik,BI et visualisation
210LCDC,Chargé de projet data analyst (H/F),Data Analyst / BI,35000.0,SQL,Bases de données
210KTYY,CDD - Responsable d'Analyse Master Data Achats (H/F),Data Management / Governance,40000.0,Excel,BI et visualisation
210KTTD,ECADE-X Data Space Services Solution Owner H/F,Data Architecture,50000.0,AWS,Cloud
210KTTD,ECADE-X Data Space Services Solution Owner H/F,Data Architecture,50000.0,GCP,Cloud
210KNKY,Data analyst & development H/F,Data Analyst / BI,50000.0,Agile / Scrum,Méthodes
210KNKY,Data analyst & development H/F,Data Analyst / BI,50000.0,Python,Langages
210KNKY,Data analyst & development H/F,Data Analyst / BI,50000.0,SQL,Bases de données
210KNBC,Data engineer (H/F),Data Engineer,50000.0,Databricks,Data Engineering
210KNBC,Data engineer (H/F),Data Engineer,50000.0,Spark,Data Engineering
210KMYJ,Hardware Verification Engineer H/F (H/F),Hardware / Embedded,40000.0,C++,Langages
210KMYJ,Hardware Verification Engineer H/F (H/F),Hardware / Embedded,40000.0,Python,Langages
210KMXZ,Hardware Verification Engineer H/F (H/F),Hardware / Embedded,40000.0,C++,Langages
210KMXZ,Hardware Verification Engineer H/F (H/F),Hardware / Embedded,40000.0,Python,Langages
210KJYH,Chargé de support N2 Data / SQL (H/F),Data Engineer,32000.0,ETL / ELT,Data Engineering
210KJYH,Chargé de support N2 Data / SQL (H/F),Data Engineer,32000.0,SQL,Bases de données
210KJYH,Chargé de support N2 Data / SQL (H/F),Data Engineer,32000.0,Talend,Data Engineering
210KHBP,Data Scientist / Data Engineer H/F (H/F),Data Scientist,28000.0,Agile / Scrum,Méthodes
210KHBP,Data Scientist / Data Engineer H/F (H/F),Data Scientist,28000.0,Data Warehouse,Data Engineering
210KHBP,Data Scientist / Data Engineer H/F (H/F),Data Scientist,28000.0,ETL / ELT,Data Engineering
210KHBP,Data Scientist / Data Engineer H/F (H/F),Data Scientist,28000.0,Excel,BI et visualisation
210KHBP,Data Scientist / Data Engineer H/F (H/F),Data Scientist,28000.0,Power BI,BI et visualisation
210KHBP,Data Scientist / Data Engineer H/F (H/F),Data Scientist,28000.0,SQL,Bases de données
210KHBP,Data Scientist / Data Engineer H/F (H/F),Data Scientist,28000.0,Snowflake,Bases de données
210KHBP,Data Scientist / Data Engineer H/F (H/F),Data Scientist,28000.0,Talend,Data Engineering
210KHBP,Data Scientist / Data Engineer H/F (H/F),Data Scientist,28000.0,dbt,Data Engineering
210KGXK,Offre d'Alternance : Datascience / IA. (H/F),Data Scientist,,BigQuery,Bases de données
210KGXK,Offre d'Alternance : Datascience / IA. (H/F),Data Scientist,,Looker,BI et visualisation
210KGXK,Offre d'Alternance : Datascience / IA. (H/F),Data Scientist,,SQL,Bases de données
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,AWS,Cloud
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,Airflow,Data Engineering
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,CI/CD,DevOps
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,Databricks,Data Engineering
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,Docker,DevOps
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,ETL / ELT,Data Engineering
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,Git,DevOps
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,PostgreSQL,Bases de données
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,Power BI,BI et visualisation
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,Python,Langages
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,SQL,Bases de données
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,Talend,Data Engineering
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,Terraform,DevOps
210KDPT,Data Engineer (H/F),Data Engineer,35000.0,dbt,Data Engineering
210KDLP,Data Steward (H/F),Data Management / Governance,35000.0,AWS,Cloud
210KDLP,Data Steward (H/F),Data Management / Governance,35000.0,Airflow,Data Engineering
210KDLP,Data Steward (H/F),Data Management / Governance,35000.0,Databricks,Data Engineering
210KDLP,Data Steward (H/F),Data Management / Governance,35000.0,Power BI,BI et visualisation
210KDLP,Data Steward (H/F),Data Management / Governance,35000.0,SQL,Bases de données
210KDLP,Data Steward (H/F),Data Management / Governance,35000.0,dbt,Data Engineering
210KDJQ,Data Product Owner (H/F),Data Project / Product,35000.0,Agile / Scrum,Méthodes
210KDJQ,Data Product Owner (H/F),Data Project / Product,35000.0,Data Warehouse,Data Engineering
210KDJQ,Data Product Owner (H/F),Data Project / Product,35000.0,Git,DevOps
210KDJQ,Data Product Owner (H/F),Data Project / Product,35000.0,Machine Learning,Machine Learning
210KDJQ,Data Product Owner (H/F),Data Project / Product,35000.0,SQL,Bases de données
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,FastAPI,Développement
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,Git,DevOps
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,LLM,IA générative et NLP
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,Linux,DevOps
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,Machine Learning,Machine Learning
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,MySQL,Bases de données
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,PostgreSQL,Bases de données
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,PyTorch,Machine Learning
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,Python,Langages
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,SQL,Bases de données
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,SQL Server,Bases de données
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,TensorFlow,Machine Learning
210JSMZ,Concepteur réalisateur informatique (H/F),IA / Machine Learning,,scikit-learn,Machine Learning
210JQWV,ANALYSTE DATA          (H/F),Data Analyst / BI,,Excel,BI et visualisation
210JQWV,ANALYSTE DATA          (H/F),Data Analyst / BI,,SQL,Bases de données
210JKNL,Analyste décisionnel - Business Intelligence (H/F),Data Analyst / BI,,Agile / Scrum,Méthodes
210JKNL,Analyste décisionnel - Business Intelligence (H/F),Data Analyst / BI,,SQL,Bases de données
210JKLB,Tech Lead Data : BI - Teradata - Talend - SQL (Lille) (H/F),Data Engineer,50000.0,Data Warehouse,Data Engineering
210JKLB,Tech Lead Data : BI - Teradata - Talend - SQL (Lille) (H/F),Data Engineer,50000.0,ETL / ELT,Data Engineering
210JKLB,Tech Lead Data : BI - Teradata - Talend - SQL (Lille) (H/F),Data Engineer,50000.0,Python,Langages
210JKLB,Tech Lead Data : BI - Teradata - Talend - SQL (Lille) (H/F),Data Engineer,50000.0,SQL,Bases de données
210JKLB,Tech Lead Data : BI - Teradata - Talend - SQL (Lille) (H/F),Data Engineer,50000.0,Talend,Data Engineering
210HSKT,Master data manager (H/F),Data Management / Governance,70000.0,Excel,BI et visualisation
210HSKT,Master data manager (H/F),Data Management / Governance,70000.0,Power BI,BI et visualisation
210HQMV,(ALTERNANCE) - Data & IA Analyst (H/F),Data Analyst / BI,,Excel,BI et visualisation
210HQMV,(ALTERNANCE) - Data & IA Analyst (H/F),Data Analyst / BI,,Power BI,BI et visualisation
210HNXY,Hardware Verification Engineer H/F (H/F),Hardware / Embedded,40000.0,C++,Langages
210HNXY,Hardware Verification Engineer H/F (H/F),Hardware / Embedded,40000.0,Python,Langages
210HNXN,Hardware Verification Engineer H/F (H/F),Hardware / Embedded,40000.0,C++,Langages
210HNXN,Hardware Verification Engineer H/F (H/F),Hardware / Embedded,40000.0,Python,Langages
210HMVX,Post-doctorant en modélisation d'essais cliniques statistique (H/F),IA / Machine Learning,,Machine Learning,Machine Learning
210HMVX,Post-doctorant en modélisation d'essais cliniques statistique (H/F),IA / Machine Learning,,Python,Langages
210HMVX,Post-doctorant en modélisation d'essais cliniques statistique (H/F),IA / Machine Learning,,Transformers,IA générative et NLP
210HMQP,Responsable de la transformation numérique et de l'IA (H/F),Data Analyst / BI,54000.0,Agile / Scrum,Méthodes
210HMQP,Responsable de la transformation numérique et de l'IA (H/F),Data Analyst / BI,54000.0,Data Warehouse,Data Engineering
210HMQP,Responsable de la transformation numérique et de l'IA (H/F),Data Analyst / BI,54000.0,LLM,IA générative et NLP
210HMKQ,Post-doctorant en modélisation d'essais cliniques (H/F),IA / Machine Learning,,Machine Learning,Machine Learning
210HMKQ,Post-doctorant en modélisation d'essais cliniques (H/F),IA / Machine Learning,,Python,Langages
210HMKQ,Post-doctorant en modélisation d'essais cliniques (H/F),IA / Machine Learning,,Transformers,IA générative et NLP
210HBMW,Planificateur Production & Distribution - Ingénieur Bac+5 (H/F),Data Scientist,30000.0,Excel,BI et visualisation
210HBMW,Planificateur Production & Distribution - Ingénieur Bac+5 (H/F),Data Scientist,30000.0,Python,Langages
210HBMW,Planificateur Production & Distribution - Ingénieur Bac+5 (H/F),Data Scientist,30000.0,SQL,Bases de données
210GWWS,Chargé(e) d'Approvisionnement & Data Analyst (H/F),Data Analyst / BI,26000.0,Excel,BI et visualisation
210GWWS,Chargé(e) d'Approvisionnement & Data Analyst (H/F),Data Analyst / BI,26000.0,Looker,BI et visualisation
210GWWS,Chargé(e) d'Approvisionnement & Data Analyst (H/F),Data Analyst / BI,26000.0,Power BI,BI et visualisation
210GWWS,Chargé(e) d'Approvisionnement & Data Analyst (H/F),Data Analyst / BI,26000.0,SQL,Bases de données
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,Agile / Scrum,Méthodes
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,Azure,Cloud
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,C#,Langages
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,CI/CD,DevOps
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,Django,Développement
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,Docker,DevOps
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,Git,DevOps
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,Java,Langages
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,Kubernetes,DevOps
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,LLM,IA générative et NLP
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,Machine Learning,Machine Learning
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,PostgreSQL,Bases de données
210GWJG,Ingénieur Web Full Stack Python - Éditeur SaaS International (H/F),IA / Machine Learning,50000.0,Python,Langages
210GRPL,ALTERNANT DATA ANALYST H/F (H/F),Data Analyst / BI,,Excel,BI et visualisation
210GKQT,Data analyst (F/H),Data Analyst / BI,30000.0,Oracle,Bases de données
210GKQT,Data analyst (F/H),Data Analyst / BI,30000.0,SQL,Bases de données
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,API REST,Développement
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,AWS,Cloud
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,Bash,Langages
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,CI/CD,DevOps
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,GCP,Cloud
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,Git,DevOps
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,Linux,DevOps
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,MySQL,Bases de données
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,NoSQL,Bases de données
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,Oracle,Bases de données
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,Python,Langages
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,SQL,Bases de données
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,Spark,Data Engineering
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,Terraform,DevOps
210GGQB,Ingénieur DATA (H/F) #TDFE2026,Data Engineer,50000.0,dbt,Data Engineering
210FYFZ,DEVELOPPEUR ANALYSTE DATA (H/F),Data Analyst / BI,,SQL,Bases de données
210FNBQ,Data analyst (H/F),Data Analyst / BI,30000.0,Docker,DevOps
210FNBQ,Data analyst (H/F),Data Analyst / BI,30000.0,Git,DevOps
210FNBQ,Data analyst (H/F),Data Analyst / BI,30000.0,Linux,DevOps
210FNBQ,Data analyst (H/F),Data Analyst / BI,30000.0,Machine Learning,Machine Learning
210FNBQ,Data analyst (H/F),Data Analyst / BI,30000.0,Python,Langages
210FNBQ,Data analyst (H/F),Data Analyst / BI,30000.0,SQL,Bases de données
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,AWS,Cloud
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,Airflow,Data Engineering
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,Azure,Cloud
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,BigQuery,Bases de données
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,CI/CD,DevOps
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,Data Warehouse,Data Engineering
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,Databricks,Data Engineering
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,Docker,DevOps
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,ETL / ELT,Data Engineering
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,GCP,Cloud
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,Git,DevOps
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,Kafka,Data Engineering
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,Kubernetes,DevOps
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,MongoDB,Bases de données
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,PostgreSQL,Bases de données
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,Python,Langages
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,SQL,Bases de données
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,Snowflake,Bases de données
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,Spark,Data Engineering
210FJSC,DATA engineer (H/F),Data Engineer,40000.0,dbt,Data Engineering
210FJKM,Senior Data Scientist (H/F),Data Scientist,60000.0,BigQuery,Bases de données
210FJKM,Senior Data Scientist (H/F),Data Scientist,60000.0,GCP,Cloud
210FJKM,Senior Data Scientist (H/F),Data Scientist,60000.0,Python,Langages
210FJKM,Senior Data Scientist (H/F),Data Scientist,60000.0,dbt,Data Engineering
210FJBN,Post-Doctorant-e en détection d'anomalies collaboratives (H/F),IA / Machine Learning,35400.0,Machine Learning,Machine Learning
210FFXM,Data Scientist (H/F),Data Scientist,,Data Warehouse,Data Engineering
210FFXM,Data Scientist (H/F),Data Scientist,,NLP,IA générative et NLP
210FFXM,Data Scientist (H/F),Data Scientist,,Python,Langages
210FFXM,Data Scientist (H/F),Data Scientist,,Spark,Data Engineering
210DZCS,Chargé(e) d'accréditations junior (H/F),Data Engineer,,Excel,BI et visualisation
210DZCS,Chargé(e) d'accréditations junior (H/F),Data Engineer,,Power BI,BI et visualisation
210DZCS,Chargé(e) d'accréditations junior (H/F),Data Engineer,,SQL,Bases de données
210DXNQ,DATA MANAGER RECHERCHE CLINIQUE (H/F),Data Management / Governance,35000.0,SAS,BI et visualisation
210DWZR,Data manager SNDS (H/F),Data Management / Governance,36000.0,Git,DevOps
210DWZR,Data manager SNDS (H/F),Data Management / Governance,36000.0,PostgreSQL,Bases de données
210DWZR,Data manager SNDS (H/F),Data Management / Governance,36000.0,Python,Langages
210DWZR,Data manager SNDS (H/F),Data Management / Governance,36000.0,Spark,Data Engineering
210CZFD,Data Analyst (H/F),Data Analyst / BI,50000.0,Excel,BI et visualisation
210CZFD,Data Analyst (H/F),Data Analyst / BI,50000.0,SQL,Bases de données
210CTVB,QA Analyst - Test Analyst Data Gbs (H/F),Data Analyst / BI,34000.0,Agile / Scrum,Méthodes
