id,titre,description,type_contrat,experience,ville,secteur,entreprise,salaire_min,salaire_max,salaire_moy,date_publication,mot_cle_source,salaire_moy_avant_correction,salaire_corrige_heuristique,departement,ville_clean,contrat_simplifie,zone_geographique,categorie_metier,source_classification
210LQML,Chef de projet informatique DATA (H/F),"Rattaché(e) au Directeur du service informatique, vous jouez un rôle clé dans la valorisation des données du groupe et l'accompagnement des métiers dans leurs enjeux décisionnels.

À ce titre, vos principales missions sont :
- Accompagner les utilisateurs dans le recueil et l'analyse de leurs besoins métiers et les assister dans la formalisation des cahiers des charges ;
- Concevoir et déployer des solutions décisionnelles en intégrant toute la chaîne de valeur de la donnée : collecte et analyse des besoins, modélisation des données, développement de flux ETL, création de reportings.
- Maîtriser et exploiter les différentes sources de données afin de les extraire, transformer et modéliser efficacement
- Concevoir, développer et maintenir des tableaux de bord et indicateurs de performance (KPI) via notre outil de datavisualisation Qlik Sense (formation possible)
- Garantir la fiabilité, la qualité et la cohérence des données au sein des bases
- Assurer le support aux utilisateurs, la maintenance des applications et leur évolution dans un environnement SI en constante transformation
- Former et sensibiliser les utilisateurs à l'usage des outils BI et à la culture data
- Mettre en œuvre et optimiser l'automatisation des flux de données (ETL)
- Participer à l'exploration de cas d'usage innovants en Intelligence Artificielle / Machine Learning appliqués aux données (Data Lake)
- Réaliser une veille technologique active et partager les évolutions pertinentes 

Profil recherché :
Compétences techniques attendues :

Issu(e) d'une formation en informatique ou data (Bac +3 à Bac +5)
Bonne maîtrise du langage SQL
Une première expérience sur des outils BI et/ou ETL est appréciée
La connaissance de Qlik Sense serait un plus (formation possible)
Compétences comportementales et qualités attendues :

Autonomie, rigueur et sens de l'organisation. Esprit d'analyse et capacité à résoudre des problématiques complexes. Bon relationnel et sens du service client. Capacité d'adaptation et curiosité intellectuelle. Esprit d'équipe et pédagogie dans la transmission des compétences.

Votre environnement et vos conditions de travail : 

Contrat de travail : CDI
Temps de travail : FORFAIT JOUR 217 JOURS + 13 RTT
Possibilité de télétravailler
Lieu de travail : Bras sur Meuse (55)
Rémunération : à définir selon profil
Vos avantages : prime de participation et intéressement, 13ème mois, Mutuelle 100 % prise en charge (part salarié), CSE, etc. 

Pourquoi nous rejoindre ?
Un poste polyvalent et évolutif, au cœur des usages IT
Un environnement concret et proche du terrain
Une équipe à taille humaine
Un groupe solide et ancré, avec des projets IT variés

Rejoindre EMC2, c'est intégrer le groupe coopératif agricole EMC2, acteur majeur de l'Est de la France, 920 salariés, 3 100 adhérents, 692 millions de CA, composé de 14 entreprises réparties sur un territoire de 19 départements.",CDI,1 An(s) - Sur poste similaire,55 - BRAS-SUR-MEUSE,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",EMC2,,,,2026-06-29 14:04:21.520000+00:00,machine learning,,False,55,BRAS-SUR-MEUSE,CDI,BRAS-SUR-MEUSE,Data Project / Product,titre
210LNTS,Data manager (F/H),"En intégrant une communauté d'experts passionnés, vous mettez la donnée au service de la transformation citoyenne. Selon vos affinités (BI, Big Data, Data Science, Datavisualisation), vous interviendrez sur l'ensemble de la chaîne de valeur: 
- Engineering & Flux : Collecte, architecture de pipelines ETL/ELT, gestion des flux structurés/non structurés et streaming en temps réel
- Performance & Sécurité : Optimisation de l'évolutivité des plateformes, gouvernance des métadonnées et application des protocoles de sécurité/chiffrement
- Restitution & Devops : Création d'API d'exposition, de rapports consolidés, automatisation et maintenance continue des environnements

L'écosystème technique :
- Big Data / Infra : Spark, NiFi, Hadoop, Hive, Iceberg, Airflow, Kubernetes
- Data Science & BI : Python, PySpark, FastAPI, PostgreSQL, PowerBI, Qlik
- Transverse : Gitlab CI/CD, JIRA, Linux

Vos conditions de travail & avantages :
Rattaché(e) à un référent d'une communauté Data ultra-active (REX, veille, certifications), vous bénéficiez de : 
- Télétravail flexible (jusqu'à 2 jours/semaine)
- Accès autonome à une académie de formation interne
- Package : Mutuelle, CSE, TR, intéressement, primes vacances & cooptation",CDI,3 An(s),31 - Toulouse,Activités des agences de travail temporaire,RANDSTAD PROFESSIONAL,40000.0,0.0,40000.0,2026-06-29 13:03:07.107000+00:00,data engineer,20000.0,True,31,Toulouse,CDI,Toulouse Métropole,Data Management / Governance,titre
210LGWN,Data engineer (BI) - H/F/X (H/F),"Nous recherchons un(e) Data Engineer passionné(e) pour nous aider à construire et à faire évoluer l'infrastructure qui rend cela possible. Notre entrepôt de données est construit sur GCP (Google BigQuery) et nous utilisons dbt, mais nous évoluons constamment ; nous avons récemment ajouté Trino à notre stack.

Votre Mission
En tant que Data Engineer au sein de notre équipe BI, votre mission principale sera de concevoir, construire et maintenir des pipelines de données et une infrastructure évolutifs qui alimentent l'écosystème de Business Intelligence de Veepee. Vous jouerez un rôle crucial dans l'évolution de notre stack technique, en garantissant sa fiabilité et ses performances tout en ouvrant la voie aux capacités pilotées par l'IA.

Responsabilités Clés
Développer et maintenir des services et des API haute performance basés sur Python pour soutenir l'intégration des données, l'automatisation et l'opérationnalisation des modèles analytiques.
Construire des API REST avec Flask et flask_restful.
Documenter et versionner les API avec Swagger ou un outil similaire.
Appliquer les meilleures pratiques : gestion des erreurs, validation, authentification/autorisation, tests automatisés et observabilité.
Prendre en charge l'orchestration, la planification et la surveillance des flux de travail et des pipelines de données (par exemple, en utilisant n8n ou Airflow), en garantissant la fraîcheur des données et le respect des SLA en collaboration avec l'équipe plateforme Data Engineering.
Promouvoir et mettre en œuvre les meilleures pratiques d'ingénierie logicielle, y compris le contrôle de version avec Git (branching, PRs, revues de code) et le CI/CD pour les tests et le déploiement automatisés des pipelines.
Collaborer avec la gouvernance des données, les ingénieurs de données, les data scientists et les analystes de données au sein d'une équipe jeune et internationale (principalement basée à Barcelone, Bruxelles et Paris).
Être un partenaire technique clé pour les développeurs BI et les utilisateurs finaux, en veillant à ce qu'ils aient accès à des données propres, fiables et opportunes pour générer des insights précieux, selon une stratégie ""AI-first"".
Technologies Clés du Poste
Stratégie : MicroStrategy
Langages & Cloud : Python, Google Cloud Platform (BigQuery)
Outils de Données : dbt, Trino
Orchestration & DevOps : n8n, Git, Swagger, CI/CD

Votre Profil
Vous possédez un état d'esprit d'ingénieur et êtes passionné(e) par la construction de systèmes de données évolutifs et fiables.
Très organisé(e), vous avez un grand souci du détail et un engagement envers la qualité.
Curieux(se), proactif(ve) et naturellement orienté(e) vers la résolution de problèmes.
Un excellent esprit d'équipe qui apprécie la collaboration avec des pairs techniques et non techniques.
Excellent(e) communicant(e), capable d'expliquer clairement des concepts techniques complexes.
Compétences Requises (Must-have)
Expérience confirmée en tant que Data Engineer, avec un focus sur la construction et la maintenance de pipelines de données.
Expérience avec les outils BI (ex: MicroStrategy, Power BI, Tableau).
Solide maîtrise du SQL et des fondamentaux de la modélisation de données (conception et optimisation).
Expérience de développement en Python : construction d'API REST (Flask/flask_restful) et documentation (Swagger).
Connaissance pratique de dbt (modélisation, tests, documentation et lignage des données).
Utilisation professionnelle de Git (branching, pull requests, code reviews) et exposition aux pratiques CI/CD.
Familiarité avec l'orchestration de workflows (planification et surveillance des jobs/pipeline)",CDI,4 An(s),93 - ST DENIS,Vente à distance sur catalogue général,VENTE PRIVEE.COM,,,,2026-06-29 11:01:04.587000+00:00,data engineer,,False,93,ST DENIS,CDI,Île-de-France,Data Engineer,titre
210LDDF,Consultant BI / Décisionnel (H/F),"Vous souhaitez rejoindre un environnement où la Business Intelligence occupe une place stratégique dans les projets métiers ?

Nous recherchons un Consultant BI pour intégrer une équipe décisionnelle intervenant sur des projets à forte valeur ajoutée. Vous participerez à la conception, au développement et à l'évolution de solutions décisionnelles couvrant l'ensemble de la chaîne BI, de l'alimentation des données jusqu'à la restitution des indicateurs.

Les missions du poste

Au sein d'une équipe spécialisée en Business Intelligence, vous intervenez sur des projets variés et prenez en charge l'ensemble du cycle décisionnel :
- Concevoir et faire évoluer les entrepôts de données.
- Développer et optimiser les flux d'alimentation (ETL).
- Participer à la modélisation des données et à l'amélioration des performances des traitements.
- Concevoir des univers et des rapports Business Objects.
- Accompagner les équipes métiers dans leurs besoins de reporting et d'analyse.
- Garantir la qualité, la fiabilité et la performance des traitements décisionnels.
- Participer aux évolutions techniques et fonctionnelles de la plateforme BI.

Le profil recherché

Vous justifiez d'une expérience significative (4 ans minimum) sur des projets décisionnels et maîtrisez les principaux composants d'une architecture BI.

Vous disposez notamment de compétences sur :
- Oracle SQL (indispensable)
- Optimisation des requêtes SQL et gestion de bases volumineuses
- Business Objects BI 4.x (création d'univers et reporting)
- Un outil ETL (la connaissance de DataStage constitue un atout)
- PL/SQL est apprécié

Au-delà de la technique, nous recherchons une personne autonome, rigoureuse et dotée d'un bon esprit d'équipe. Vous appréciez les échanges avec les utilisateurs métiers et savez évoluer dans un environnement collaboratif.

Pourquoi rejoindre ce projet ?

- Des projets BI structurants au sein d'un environnement informatique mature.
- Une vision complète de la chaîne décisionnelle.
- Des échanges réguliers avec les équipes métiers.
- Un contexte technique stimulant offrant de réelles perspectives d'évolution.",CDI,4 An(s),84 - Avignon,Conseil pour les affaires et autres conseils de gestion,GROUPAGORA,40000.0,0.0,40000.0,2026-06-29 10:18:03.314000+00:00,business intelligence,20000.0,True,84,Avignon,CDI,Avignon,Data Analyst / BI,titre
210LCDC,Chargé de projet data analyst (H/F),"Chargé(e) de Projets / Data Analyst (CDD) - Paris 17e

Dans le cadre de plusieurs projets stratégiques, Rexel recherche un(e) Chargé(e) de Projets / Data Analyst pour renforcer ponctuellement sa Direction Transformation.
Votre mission sera de mettre la donnée au service de la décision en accompagnant les équipes projet dans l'analyse, la structuration et la valorisation des données.

Vos missions
- Comprendre les problématiques et besoins des équipes métiers.
- Identifier, collecter et préparer les données nécessaires aux analyses.
- Réaliser des analyses permettant d'éclairer les décisions et orientations des projets.
- Concevoir des reportings et visualisations sous Qlik afin de rendre la donnée accessible et exploitable.
- Produire des synthèses et recommandations à destination des équipes projet et du management.
- Accompagner les utilisateurs dans la compréhension et l'exploitation des analyses réalisées.

Profil recherché
- Formation supérieure en Data, Business Intelligence ou domaine équivalent.
- Expérience en analyse de données, reporting ou pilotage de la performance.
- Bonne maîtrise de SQL.
- Maîtrise de Qlik indispensable et ou d'un outil de datavisualisation (Power BI, Tableau, etc.).
- Capacité à transformer un besoin métier en analyse concrète et exploitable.
- Excellentes capacités d'analyse, de synthèse et de communication.

Pourquoi rejoindre Rexel ?
- Participer à des projets à fort impact au sein de la Direction Transformation.
- Travailler sur des problématiques variées avec une forte dimension décisionnelle.
- Intégrer un groupe leader de son secteur, engagé dans la transformation digitale et énergétique.
Localisation : Paris 17e
Contrat : CDD",CDD - 6 Mois,2 An(s),75 - PARIS,Commerce de gros (commerce interentreprises) de matériel électrique,REXEL FRANCE,35000.0,0.0,35000.0,2026-06-29 09:58:36.173000+00:00,data analyst,17500.0,True,75,Paris,CDD,Île-de-France,Data Analyst / BI,titre
210KTYY,CDD - Responsable d'Analyse Master Data Achats (H/F),"Type de contrat : CDD
Durée de contrat : 8 mois
Localisation : Saint-Ouen-Sur-Seine (93)

Rattaché(e) à l'équipe Achats, vous portez une responsabilité clé sur la fiabilité des données achats ainsi que sur le traitement et la résolution des anomalies de facturation fournisseurs. À la fois opérationnel(le) et analytique, vous intervenez en transverse en lien étroit avec les équipes IT, Comptabilité, Marketing et les Acheteurs.

Vos missions principales
- Garantir la fiabilité des données achats et leur cohérence dans les systèmes
- Analyser, traiter et résoudre les anomalies de facturation (écarts de prix, références, créations articles...)
- Identifier, suivre et corriger les écarts liés aux coûts
- Exploiter les reportings pour détecter les achats hors référencement et proposer des actions correctives
- Contribuer à l'amélioration continue des processus de contrôle et de qualité des données
 Profil recherché
- Minimum 5 ans d'expérience significative et éprouvée en analyse de données, contrôle de gestion, achats ou IT, avec une réelle exposition à des enjeux de qualité de données
- Forte culture du chiffre, excellente capacité d'analyse et de structuration
- Très bonne maîtrise d'Excel (TCD, fonctions avancées, analyse de données)
- La connaissance de SAP est un plus
- Rigueur, sens des responsabilités, capacité à travailler en transverse avec des interlocuteurs variés

Pourquoi nous rejoindre ?
Areas s'engage à accueillir toutes les candidatures sans distinction et à favoriser un environnement de travail inclusif, adapté aux personnes en situation de handicap.
Rejoignez l'aventure Areas et ses 6000 collaborateurs en France !",CDD - 9 Mois,5 An(s),93 - Saint-Ouen-sur-Seine,Restauration de type rapide,CONCESSIONS GARES FRANCE,40000.0,0.0,40000.0,2026-06-26 23:48:12.945000+00:00,data analyst,20000.0,True,93,Saint-Ouen-sur-Seine,CDD,Île-de-France,Data Management / Governance,titre
210KTTD,ECADE-X Data Space Services Solution Owner H/F,"Nos Commandantes de Bord vous expliquent pourquoi rejoindre Airbus : "" Airbus est une entreprise renommée dans le secteur de l'aéronautique, reconnue pour son innovation et son expertise. Rejoindre Airbus, c'est intégrer un environnement dynamique et stimulant, où les talents peuvent s'épanouir et contribuer à des projets d'envergure internationale."" Nous nous engageons pour un long voyage, Crit Aéro recrute en mission d'intérim un ECADE-X Data Space Services Solution Owner (F/H) Pour préparer ce voyage, « après une pré qualification téléphonique, vous serez convié(e) à un entretien où vous aurez l'occasion de présenter votre parcours, vos compétences/qualités et votre cadre de recherche »
On vous dit tout !! Faisons escale sur votre plan de vol et les attentes de ce poste :
L'objectif de DECADE-X est de relever les défis critiques du secteur aérospatial et de défense :
a) connecter tous les niveaux de la chaîne d'approvisionnement grâce à un partage de données fluide et fiable ;
b) garantir la souveraineté des données de l'entreprise ;
c) assurer l'interopérabilité grâce à des normes communes ;
d) permettre l'accès aux entreprises de toutes tailles.
Vos défis sur DECADE-X en tant que Responsable de la Solution Data Space Services
Vous êtes responsable du cycle de vie technique de la solution numérique, de la conception à l'exploitation.
Vous gérez les parties prenantes internes et externes impliquées dans la mise en oeuvre de la solution, les contrats et les opérations techniques.
Le Salaire est de 54900EUR selon profil 
Le petit + de Crit Aéro ?! les équipes Crit Aéro vous souhaitent un agréable vol au sein de notre Compagnie et vous garantissent leur présence à l'atterrissage pour préparer votre avenir...
 Avant l'embarquement, vérifions que nous n'avons rien oublié, dans vos bagages : on lit le plan de vol jusqu'au bout pour assurer la qualité du voyage de l'avion.
Il vous faudra : comme carte d'embarquement : de l'envie, motivation, rigueur et de l'assiduité. 
Votre passeport reprenant votre diplôme idéalement BAC+5 informatique, vous maitrisez l'anglais à l'oral et l'écrit. 
Vous justifiez d'une expérience de minimum 5 ans dans l'industrie et idéalement industrie aéronautique. 
Ce qui fera la différence pour la réussite sur ce poste est
Expérience professionnelle minimale : 5 ans
Vous possédez les qualités suivantes :
Vous êtes orienté client.
Vous avez de l'expérience dans la gestion de projets transnationaux et intersectoriels.
Vous maîtrisez les méthodologies agiles, idéalement SAFe.
Vous savez fédérer et mobiliser les équipes.
Niveau d'anglais : avancé (contexte international).
Atout : connaissance de l'organisation et du réseau des achats.

Vos compétences techniques :
Gestion de projet
Sécurité des systèmes d'information Gestion
Alignement de la stratégie informatique et commerciale
Architecture informatique : Conception de produits informatiques
La connaissance d'AWS, Google Cloud, Sovereign Cloud et Dataspace serait un atout
Conception d'interfaces techniques
Méthodes de livraison : Agilité",Intérim - 6 Mois,5 An(s),31 - BLAGNAC,Activités des agences de travail temporaire,CRIT INTERIM,50000.0,0.0,50000.0,2026-06-26 23:25:07.311000+00:00,data engineer,25000.0,True,31,BLAGNAC,Intérim,Toulouse Métropole,Data Architecture,titre
210KNKY,Data analyst & development H/F,"Nos Commandantes de Bord vous expliquent pourquoi rejoindre Airbus : "" Airbus est une entreprise renommée dans le secteur de l'aéronautique, reconnue pour son innovation et son expertise. Rejoindre Airbus, c'est intégrer un environnement dynamique et stimulant, où les talents peuvent s'épanouir et contribuer à des projets d'envergure internationale."" Nous nous engageons pour un long voyage, Crit Aéro recrute en mission d'intérim un Data analyst & development (F/H) Pour préparer ce voyage, « après une pré qualification téléphonique, vous serez convié(e) à un entretien où vous aurez l'occasion de présenter votre parcours, vos compétences/qualités et votre cadre de recherche »
On vous dit tout !! Faisons escale sur votre plan de vol et les attentes de ce poste :
- Amélioration des outils existants (ex. : tableau de bord, applications Skywise)
- Exploration des données disponibles et proposition de solutions adaptées pour une meilleure analyse
- Proposition et développement de nouveaux outils numériques et mise en oeuvre d'analyses de données pertinentes
Le Salaire est de 54 KEUR selon profil 
Le petit + de Crit Aéro ?! les équipes Crit Aéro vous souhaitent un agréable vol au sein de notre Compagnie et vous garantissent leur présence à l'atterrissage pour préparer votre avenir...
 Avant l'embarquement, vérifions que nous n'avons rien oublié, dans vos bagages : on lit le plan de vol jusqu'au bout pour assurer la qualité du voyage de l'avion.
Il vous faudra : comme carte d'embarquement : de l'envie, motivation, rigueur et de l'assiduité. 
Votre passeport reprenant votre diplôme idéalement BAC+5, vous maitrisez l'anglais à l'oral et l'écrit. 
Vous justifiez d'une expérience de minimum 5 ans dans l'industrie et idéalement industrie aéronautique. 
Ce qui fera la différence pour la réussite sur ce poste est 
Outils : Skywise obligatoire + SQL, Python sont un plus
Langues : Anglais C1 obligatoire - Français pas obligatoire mais un plus
Qualités : Autonome, proactif, agile, créatif, esprit d'équipe, communication",Intérim - 6 Mois,5 An(s),31 - BLAGNAC,Activités des agences de travail temporaire,CRIT INTERIM,50000.0,0.0,50000.0,2026-06-26 17:01:47.342000+00:00,data analyst,25000.0,True,31,BLAGNAC,Intérim,Toulouse Métropole,Data Analyst / BI,titre
210KNDQ,Business Analyst for Data Compliance H/F,"Nos Commandantes de Bord vous expliquent pourquoi rejoindre Airbus : "" Airbus est une entreprise renommée dans le secteur de l'aéronautique, reconnue pour son innovation et son expertise. Rejoindre Airbus, c'est intégrer un environnement dynamique et stimulant, où les talents peuvent s'épanouir et contribuer à des projets d'envergure internationale."" Nous nous engageons pour un long voyage, Crit Aéro recrute en mission d'intérim un Business Analyst for Data Compliance (F/H) Pour préparer ce voyage, « après une pré qualification téléphonique, vous serez convié(e) à un entretien où vous aurez l'occasion de présenter votre parcours, vos compétences/qualités et votre cadre de recherche »
On vous dit tout !! Faisons escale sur votre plan de vol et les attentes de ce poste :
Compréhension des processus et outils pertinents : processus de déclaration TrustArc, MyPortfolio, MyDataCompliance
Collecte des données pertinentes et création de tableaux de bord de suivi pour garantir la visibilité de l'état d'avancement
Contact avec les responsables des applications métiers pour améliorer la qualité des données à la source en assurant le respect des processus et en corrigeant les déclarations manquantes
Rédaction de la documentation pour permettre à l'équipe de mettre à jour les tableaux de bord en toute autonomie
Présentation à l'équipe du bureau des données
Le Salaire est de 42/49 KEUR selon profil 
Le petit + de Crit Aéro ?! les équipes Crit Aéro vous souhaitent un agréable vol au sein de notre Compagnie et vous garantissent leur présence à l'atterrissage pour préparer votre avenir...
 Avant l'embarquement, vérifions que nous n'avons rien oublié, dans vos bagages : on lit le plan de vol jusqu'au bout pour assurer la qualité du voyage de l'avion.
Il vous faudra : comme carte d'embarquement : de l'envie, motivation, rigueur et de l'assiduité. 
Votre passeport reprenant votre diplôme idéalement BAC+5, vous maitrisez l'anglais à l'oral et l'écrit. 
Vous justifiez d'une expérience de minimum 3ans dans l'industrie et idéalement industrie aéronautique. 
Ce qui fera la différence pour la réussite sur ce poste est  Compréhension de la gouvernance des données chez Airbus et des processus de déclaration des applications (MyPortfolio, MyDataCompliance, TrustArc)
Maîtrise du traitement des données et de la mise en oeuvre de tableaux de bord (AppSheet et Skywise)
Collaboration avec les responsables des applications métiers
Expérience réussie de travail en équipe dans un environnement interculturel
Excellentes compétences en communication, capacité à travailler avec différentes équipes
Gestion efficace des attentes des clients et des parties prenantes
Niveau de négociation en anglais",Intérim - 6 Mois,2 An(s),31 - BLAGNAC,Activités des agences de travail temporaire,CRIT INTERIM,40000.0,0.0,40000.0,2026-06-26 16:51:57.100000+00:00,data analyst,20000.0,True,31,BLAGNAC,Intérim,Toulouse Métropole,Data Consulting / Business Analysis,titre
210KNBC,Data engineer (H/F),"AU SEIN D'UNE BANQUE D'INVESTISSEMENT, NOUS RECHERCHONS UN DATA ENGINEER (H/F) POUR INTERVENIR SUR UN PROJET STRATEGIQUE.
L'OBJECTIF DE CE PROJET EST DE DEVELOPPER UNE PLATEFORME DE DONNEES ROBUSTE ET EVOLUTIVE, CAPABLE DE GERER UN VOLUME CONSEQUENT D'INFORMATIONS A L'ECHELLE MULTI-PAYS. 
L'ENVIRONNEMENT TECHNIQUE EST EN PYSPARK ET DATABRICKS.
VOUS JUSTIFIEZ D'UNE EXPÉRIENCE DE 5 ANS MINIMUM EN TANT QUE DATA ENGINEER.",CDI,5 An(s),92 - PUTEAUX,Conseil en systèmes et logiciels informatiques,INVIVOO,50000.0,0.0,50000.0,2026-06-26 16:48:29.025000+00:00,data engineer,25000.0,True,92,PUTEAUX,CDI,Île-de-France,Data Engineer,titre
