competence,score_employabilite,impact_salaire,emp_norm,sal_norm,score_final
Tableau,23.1,-1179,0.651,0.114,0.49
GCP,12.0,3149,0.337,0.55,0.401
TensorFlow,3.4,7625,0.094,1.0,0.366
Scala,11.1,2000,0.311,0.434,0.348
Spark,10.9,319,0.306,0.265,0.294
R,11.5,-204,0.323,0.212,0.29
AWS,10.9,-525,0.306,0.18,0.268
Azure,12.7,-2226,0.357,0.009,0.253
Databricks,8.9,0,0.249,0.233,0.244
LLM,7.8,-160,0.217,0.217,0.217
Deep Learning,5.9,0,0.163,0.233,0.184
Docker,6.1,-139,0.169,0.219,0.184
Java,5.3,0,0.149,0.233,0.174
Snowflake,6.5,-826,0.18,0.15,0.171
dbt,4.4,168,0.123,0.25,0.161
Airflow,4.8,-250,0.134,0.208,0.156
NLP,4.1,197,0.114,0.253,0.156
Kubernetes,4.2,0,0.117,0.233,0.152
PyTorch,4.2,0,0.117,0.233,0.152
Kafka,3.4,0,0.094,0.233,0.136
MLflow,1.4,0,0.037,0.233,0.096
Keras,0.5,0,0.011,0.233,0.078
