competence,famille_competence,nombre_offres,nombre_offres_salaire,salaire_median,salaire_moyen,part_offres,score_demande,score_salaire,fiabilite_salaire,score_salaire_ajuste,tech_skills_index,niveau_priorite,type_competence,fiabilite_libelle
Agile / Scrum,Méthodes,153,32,49000.0,46062.5,21.191135734072024,93.33333333333333,74.4186046511628,1.0,74.4186046511628,87.7,Priorité forte,Transversale,Bonne
CI/CD,DevOps,118,20,50000.0,48100.0,16.343490304709142,90.0,88.37209302325581,0.6666666666666666,75.5813953488372,85.7,Priorité forte,Technique,Moyenne
Spark,Data Engineering,109,26,50000.0,48942.307692307695,15.096952908587259,86.66666666666667,88.37209302325581,0.8666666666666667,83.25581395348837,85.6,Priorité forte,Technique,Moyenne
SQL,Bases de données,331,98,45000.0,44255.02040816326,45.84487534626039,100.0,51.162790697674424,1.0,51.162790697674424,85.3,Priorité forte,Technique,Bonne
Python,Langages,325,80,45000.0,45731.25,45.013850415512465,98.33333333333333,51.162790697674424,1.0,51.162790697674424,84.2,Priorité forte,Technique,Bonne
Machine Learning,Machine Learning,239,39,45000.0,46253.846153846156,33.10249307479224,96.66666666666667,51.162790697674424,1.0,51.162790697674424,83.0,Priorité forte,Technique,Bonne
Power BI,BI et visualisation,208,60,45000.0,43729.7,28.80886426592798,95.0,51.162790697674424,1.0,51.162790697674424,81.8,Priorité forte,Technique,Bonne
Azure,Cloud,125,32,45000.0,46468.75,17.31301939058172,91.66666666666666,51.162790697674424,1.0,51.162790697674424,79.5,Priorité forte,Technique,Bonne
GCP,Cloud,106,22,47500.0,47363.63636363636,14.681440443213297,85.0,69.76744186046511,0.7333333333333333,64.49612403100775,78.8,Priorité forte,Technique,Moyenne
Data Warehouse,Data Engineering,70,25,50000.0,45431.6,9.695290858725762,76.66666666666667,88.37209302325581,0.8333333333333334,81.97674418604652,78.3,Priorité forte,Technique,Moyenne
AWS,Cloud,101,26,45000.0,45500.0,13.988919667590027,83.33333333333334,51.162790697674424,0.8666666666666667,51.0077519379845,73.6,Priorité intermédiaire,Technique,Moyenne
ETL / ELT,Data Engineering,112,36,42500.0,45017.5,15.512465373961218,88.33333333333333,32.55813953488372,1.0,32.55813953488372,71.6,Priorité intermédiaire,Technique,Bonne
Databricks,Data Engineering,90,16,45000.0,48093.75,12.465373961218837,78.33333333333333,51.162790697674424,0.5333333333333333,50.62015503875969,70.0,Priorité intermédiaire,Technique,Moyenne
Snowflake,Bases de données,60,18,45000.0,45590.555555555555,8.310249307479225,73.33333333333333,51.162790697674424,0.6,50.697674418604656,66.5,Priorité intermédiaire,Technique,Moyenne
Deep Learning,Machine Learning,60,10,45000.0,46600.0,8.310249307479225,73.33333333333333,51.162790697674424,0.3333333333333333,50.38759689922481,66.4,Priorité intermédiaire,Technique,Moyenne
Excel,BI et visualisation,96,32,42000.0,43468.75,13.29639889196676,80.0,29.069767441860467,1.0,29.069767441860467,64.7,Priorité intermédiaire,Technique,Bonne
Talend,Data Engineering,52,23,45000.0,44570.86956521739,7.202216066481995,70.0,51.162790697674424,0.7666666666666667,50.89147286821706,64.3,Priorité intermédiaire,Technique,Moyenne
BigQuery,Bases de données,47,18,47500.0,48194.444444444445,6.509695290858726,65.0,69.76744186046511,0.6,61.860465116279066,64.1,Priorité intermédiaire,Technique,Moyenne
Docker,DevOps,60,9,40000.0,40777.77777777778,8.310249307479225,73.33333333333333,16.27906976744186,0.3,39.883720930232556,63.3,Priorité intermédiaire,Technique,Faible
LLM,IA générative et NLP,49,10,45000.0,45200.0,6.786703601108034,68.33333333333333,51.162790697674424,0.3333333333333333,50.38759689922481,62.9,Priorité intermédiaire,Technique,Moyenne
Git,DevOps,97,29,40000.0,42379.31034482759,13.434903047091412,81.66666666666667,16.27906976744186,0.9666666666666667,17.4031007751938,62.4,Priorité intermédiaire,Technique,Moyenne
Java,Langages,44,9,50000.0,54722.22222222222,6.094182825484765,62.5,88.37209302325581,0.3,61.51162790697674,62.2,Priorité intermédiaire,Technique,Faible
Airflow,Data Engineering,48,18,40000.0,44138.88888888889,6.64819944598338,66.66666666666666,16.27906976744186,0.6,29.767441860465116,55.6,Priorité intermédiaire,Technique,Moyenne
Scala,Langages,39,8,50000.0,52187.5,5.401662049861495,53.333333333333336,88.37209302325581,0.26666666666666666,60.23255813953489,55.4,Priorité intermédiaire,Technique,Faible
NoSQL,Bases de données,35,10,50000.0,49500.0,4.847645429362881,51.66666666666667,88.37209302325581,0.3333333333333333,62.7906976744186,55.0,Priorité intermédiaire,Technique,Moyenne
PostgreSQL,Bases de données,44,15,40000.0,40466.666666666664,6.094182825484765,62.5,16.27906976744186,0.5,33.13953488372093,53.7,Priorité intermédiaire,Technique,Moyenne
PyTorch,Machine Learning,42,6,39500.0,43333.333333333336,5.8171745152354575,58.333333333333336,4.651162790697675,0.2,40.93023255813954,53.1,Priorité intermédiaire,Technique,Faible
Kafka,Data Engineering,34,7,50000.0,47857.142857142855,4.7091412742382275,49.166666666666664,88.37209302325581,0.23333333333333334,58.95348837209302,52.1,Priorité intermédiaire,Technique,Faible
Kubernetes,DevOps,41,7,40000.0,49571.42857142857,5.678670360110803,55.833333333333336,16.27906976744186,0.23333333333333334,42.13178294573643,51.7,Priorité intermédiaire,Technique,Faible
dbt,Data Engineering,43,19,40000.0,44421.05263157895,5.955678670360111,60.0,16.27906976744186,0.6333333333333333,28.64341085271318,50.6,Priorité intermédiaire,Technique,Moyenne
NLP,IA générative et NLP,41,8,36500.0,42832.5,5.678670360110803,55.833333333333336,2.3255813953488373,0.26666666666666666,37.286821705426355,50.3,Priorité intermédiaire,Technique,Faible
Oracle,Bases de données,32,8,50000.0,49125.0,4.43213296398892,45.0,88.37209302325581,0.26666666666666666,60.23255813953489,49.6,Priorité faible,Technique,Faible
TensorFlow,Machine Learning,34,5,42000.0,49800.0,4.7091412742382275,49.166666666666664,29.069767441860467,0.16666666666666666,46.51162790697674,48.4,Priorité faible,Technique,Faible
RAG,IA générative et NLP,32,5,45000.0,45200.0,4.43213296398892,45.0,51.162790697674424,0.16666666666666666,50.1937984496124,46.6,Priorité faible,Technique,Faible
Qlik,BI et visualisation,32,5,45000.0,49000.0,4.43213296398892,45.0,51.162790697674424,0.16666666666666666,50.1937984496124,46.6,Priorité faible,Technique,Faible
Hadoop,Data Engineering,29,6,47500.0,48833.333333333336,4.016620498614958,40.0,69.76744186046511,0.2,53.95348837209302,44.2,Priorité faible,Technique,Faible
Linux,DevOps,31,7,40000.0,45571.42857142857,4.293628808864266,41.66666666666667,16.27906976744186,0.23333333333333334,42.13178294573643,41.8,Priorité faible,Technique,Faible
scikit-learn,Machine Learning,25,2,40000.0,40000.0,3.4626038781163437,36.666666666666664,,0.06666666666666667,50.0,40.7,Priorité faible,Technique,Insuffisante
Terraform,DevOps,23,5,50000.0,48000.0,3.1855955678670362,33.33333333333333,88.37209302325581,0.16666666666666666,56.395348837209305,40.3,Priorité faible,Technique,Faible
Computer Vision,Machine Learning,24,3,65000.0,66666.66666666667,3.32409972299169,35.0,,0.1,50.0,39.5,Priorité faible,Technique,Insuffisante
SQL Server,Bases de données,27,8,40000.0,42375.0,3.739612188365651,38.333333333333336,16.27906976744186,0.26666666666666666,41.007751937984494,39.1,Priorité faible,Technique,Faible
Looker,BI et visualisation,20,8,50000.0,47000.0,2.7700831024930745,30.0,88.37209302325581,0.26666666666666666,60.23255813953489,39.1,Priorité faible,Technique,Faible
SAS,BI et visualisation,21,7,44000.0,48571.42857142857,2.9085872576177287,31.666666666666664,34.883720930232556,0.23333333333333334,46.47286821705426,36.1,Priorité faible,Technique,Faible
LangChain,IA générative et NLP,15,2,43500.0,43500.0,2.0775623268698062,25.833333333333336,,0.06666666666666667,50.0,33.1,Priorité faible,Technique,Insuffisante
MySQL,Bases de données,15,4,40500.0,39000.0,2.0775623268698062,25.833333333333336,,0.13333333333333333,50.0,33.1,Priorité faible,Technique,Insuffisante
C++,Langages,19,8,40000.0,41875.0,2.631578947368421,28.333333333333332,16.27906976744186,0.26666666666666666,41.007751937984494,32.1,Priorité faible,Technique,Faible
Transformers,IA générative et NLP,14,1,37000.0,37000.0,1.9390581717451523,21.666666666666668,,0.03333333333333333,50.0,30.2,Priorité faible,Technique,Insuffisante
MongoDB,Bases de données,14,4,42500.0,47500.0,1.9390581717451523,21.666666666666668,,0.13333333333333333,50.0,30.2,Priorité faible,Technique,Insuffisante
MLflow,Machine Learning,14,3,37000.0,39333.333333333336,1.9390581717451523,21.666666666666668,,0.1,50.0,30.2,Priorité faible,Technique,Insuffisante
Bash,Langages,11,2,40000.0,40000.0,1.5235457063711912,17.5,,0.06666666666666667,50.0,27.2,Priorité faible,Technique,Insuffisante
C#,Langages,11,4,42500.0,42750.0,1.5235457063711912,17.5,,0.13333333333333333,50.0,27.2,Priorité faible,Technique,Insuffisante
Tableau,BI et visualisation,10,7,50000.0,48571.42857142857,1.3850415512465373,13.333333333333334,88.37209302325581,0.23333333333333334,58.95348837209302,27.0,Priorité faible,Technique,Faible
API REST,Développement,10,3,50000.0,41666.666666666664,1.3850415512465373,13.333333333333334,,0.1,50.0,24.3,Priorité faible,Technique,Insuffisante
